date,Temp,EC,PH,turbidity,Chl-a,DO
23/01/2014 7:00,30,45360,7.66,5.9,3.4,5.03
23/01/2014 7:30,29.96,44900,7.65,6.1,3.5,4.98
23/01/2014 8:00,29.94,44700,7.65,6,3,4.98
23/01/2014 8:30,29.93,44340,7.65,6.4,3.1,4.95
23/01/2014 9:00,29.92,44040,7.65,7.3,3.4,4.98
23/01/2014 9:30,30.01,43840,7.66,6.9,3.6,5.03
23/01/2014 10:00,30.18,43650,7.67,7,2.9,5.18
23/01/2014 10:30,30.42,43570,7.68,6.8,3.6,5.35
23/01/2014 11:00,30.56,43820,7.69,6.5,2.6,5.49
23/01/2014 11:30,30.57,44200,7.67,6.6,3.4,5.41
23/01/2014 12:00,30.93,44780,7.7,7.1,3.5,5.73
23/01/2014 12:30,31.08,45270,7.71,6.6,3.6,5.9
23/01/2014 13:00,31.34,45820,7.73,6,2.2,6.1
23/01/2014 13:30,31.52,46130,7.74,6.1,1.9,6.21
23/01/2014 14:00,31.38,46950,7.75,6.8,2.8,6.28
23/01/2014 14:30,31.29,47560,7.75,5.8,2.1,6.19
23/01/2014 15:00,31.07,48220,7.76,5,2.6,6.18
23/01/2014 15:30,30.97,48690,7.77,4.6,3,6.18
23/01/2014 16:00,31.22,48520,7.77,4,3.2,6.23
23/01/2014 16:30,31.43,47690,7.76,4.3,3.6,6.33
23/01/2014 17:00,31.39,47520,7.77,3.6,4.3,6.4
23/01/2014 17:30,31.51,47220,7.77,5.3,4.8,6.46
23/01/2014 18:00,31.54,36170,7.77,6.6,4.8,6.68
23/01/2014 18:30,31.45,46670,7.76,6.4,5.4,6.32
23/01/2014 19:00,31.33,36360,7.75,6.1,4.9,6.5
23/01/2014 19:30,31.25,39160,7.75,6.1,4.6,6.36
23/01/2014 20:00,31.11,35030,7.74,6.1,4.7,6.35
23/01/2014 20:30,31.07,34200,7.73,6.8,5,6.25
23/01/2014 21:00,30.9,33970,7.72,6.5,4.8,6.14
23/01/2014 21:30,30.85,35660,7.72,6.6,4.6,6.01
23/01/2014 22:00,30.77,33950,7.71,5.9,5.2,5.93
23/01/2014 22:30,30.69,33050,7.71,5.6,4.7,5.9
23/01/2014 23:00,30.64,33720,7.71,5.3,4,5.78
23/01/2014 23:30,30.56,33160,7.71,5.4,4.5,5.74
24/01/2014 0:00,30.51,32650,7.71,4.8,4.9,5.6
24/01/2014 0:30,30.46,32820,7.69,4,4.4,5.47
24/01/2014 1:00,30.41,35160,7.7,4.2,3.5,5.68
24/01/2014 1:30,30.42,33050,7.7,4.1,4.6,5.78
24/01/2014 2:00,30.39,35350,7.7,6,3.6,5.68
24/01/2014 2:30,30.13,34120,7.7,6,3.6,5.72
24/01/2014 3:00,29.9,36640,7.71,5.8,3.1,5.65
24/01/2014 3:30,29.87,37190,7.72,5.4,2.3,5.7
24/01/2014 4:00,29.89,36640,7.72,5.1,2,5.74
24/01/2014 4:30,29.85,31390,7.73,3.8,2.8,5.78
24/01/2014 5:00,29.73,32740,7.73,3.4,2.8,5.81
24/01/2014 5:30,29.68,33730,7.71,3.5,3.2,5.68
24/01/2014 6:00,29.68,46690,7.71,3.4,2.7,5.41
24/01/2014 6:30,29.61,46640,7.71,4,2.3,5.36
